planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
ego,off,0,0,2.0,0.05,True,0,0.76,9.6,1.5,0,0
ego,off,0,1,2.0,0.05,True,0,1.207,6.9,1.5,0,0
ego,off,0,2,2.0,0.05,True,0,1.565,6.6,1.5,0,0
ego,off,0,3,2.0,0.05,True,0,1.092,8.4,1.5,0,0
ego,off,0,4,2.0,0.05,True,0,1.092,8.1,1.5,0,0
ego,off,0,5,2.0,0.05,True,0,1.14,6.9,1.63,0,0
ego,off,1,0,2.0,0.05,True,0,0.365,11.7,1.5,0,0
ego,off,1,1,2.0,0.05,True,0,1.748,6.9,1.5,0,0
ego,off,1,2,2.0,0.05,True,0,0.705,9.3,1.5,0,0
ego,off,1,3,2.0,0.05,True,0,1.27,6.9,1.5,0,0
ego,off,1,4,2.0,0.05,True,0,1.506,6.9,4.03,0,0
ego,off,1,5,2.0,0.05,True,0,0.15,6.6,1.5,0,0
ego,off,2,0,2.0,0.05,True,0,1.61,6.9,1.5,0,0
ego,off,2,1,2.0,0.05,True,0,1.053,7.8,1.5,0,0
ego,off,2,2,2.0,0.05,True,0,0.924,8.1,1.5,0,0
ego,off,2,3,2.0,0.05,True,1,-0.171,9.9,1.57,0,0
ego,off,2,4,2.0,0.05,True,0,1.192,8.7,1.5,0,0
ego,off,2,5,2.0,0.05,True,0,1.021,9.0,1.53,0,0
ego,off,3,0,2.0,0.05,True,1,-0.108,10.8,1.5,0,0
ego,off,3,1,2.0,0.05,True,0,1.561,6.6,1.5,0,0
ego,off,3,2,2.0,0.05,True,0,1.158,7.8,1.5,0,0
ego,off,3,3,2.0,0.05,True,0,0.459,10.2,1.5,0,0
ego,off,3,4,2.0,0.05,True,0,0.652,9.3,1.5,0,0
ego,off,3,5,2.0,0.05,True,0,0.852,10.5,3.73,0,0
ego,off,4,0,2.0,0.05,True,0,0.46,12.0,1.5,0,0
ego,off,4,1,2.0,0.05,True,0,1.01,7.8,1.5,0,0
ego,off,4,2,2.0,0.05,True,0,0.831,9.0,1.5,0,0
ego,off,4,3,2.0,0.05,True,0,0.604,9.6,1.5,0,0
ego,off,4,4,2.0,0.05,True,0,1.155,8.1,1.5,0,0
ego,off,4,5,2.0,0.05,True,0,1.135,6.6,1.5,0,0
ego,off,5,0,2.0,0.05,True,0,0.333,9.3,1.5,0,0
ego,off,5,1,2.0,0.05,True,1,-0.011,11.1,1.5,0,0
ego,off,5,2,2.0,0.05,False,0,0.636,15.9,1.5,0,0
ego,off,5,3,2.0,0.05,True,0,0.114,9.9,1.5,0,0
ego,off,5,4,2.0,0.05,True,0,0.696,8.7,1.5,0,0
ego,off,5,5,2.0,0.05,True,0,0.729,9.0,1.5,0,0
ego,off,6,0,2.0,0.05,True,0,0.605,9.3,1.5,0,0
ego,off,6,1,2.0,0.05,True,0,0.616,9.0,1.5,0,0
ego,off,6,2,2.0,0.05,True,0,0.897,8.7,1.5,0,0
ego,off,6,3,2.0,0.05,True,0,0.635,8.7,1.5,0,0
ego,off,6,4,2.0,0.05,True,0,0.933,8.4,1.5,0,0
ego,off,6,5,2.0,0.05,True,0,0.778,8.7,1.5,0,0
ego,off,7,0,2.0,0.05,True,0,1.216,8.4,1.5,0,0
ego,off,7,1,2.0,0.05,True,0,0.566,9.3,1.5,0,0
ego,off,7,2,2.0,0.05,True,0,1.611,6.9,1.5,0,0
ego,off,7,3,2.0,0.05,True,0,0.064,12.0,1.5,0,0
ego,off,7,4,2.0,0.05,True,0,1.305,6.3,1.5,0,0
ego,off,7,5,2.0,0.05,True,0,0.452,9.0,1.5,0,0
ego,off,8,0,2.0,0.05,True,0,0.96,9.0,2.88,0,0
ego,off,8,1,2.0,0.05,False,0,0.638,13.5,1.5,0,0
ego,off,8,2,2.0,0.05,True,1,-0.027,10.8,1.67,0,0
ego,off,8,3,2.0,0.05,True,0,1.267,13.2,1.5,0,0
ego,off,8,4,2.0,0.05,True,0,0.756,9.0,1.5,0,0
ego,off,8,5,2.0,0.05,True,0,0.755,9.0,1.5,0,0
ego,off,9,0,2.0,0.05,True,0,0.671,9.3,1.5,0,0
ego,off,9,1,2.0,0.05,True,0,0.305,9.6,1.5,0,0
ego,off,9,2,2.0,0.05,True,0,1.198,12.0,1.5,0,0
ego,off,9,3,2.0,0.05,True,0,1.296,6.6,4.68,0,0
ego,off,9,4,2.0,0.05,True,0,0.014,9.9,1.5,0,0
ego,off,9,5,2.0,0.05,True,0,1.671,6.9,2.91,0,0
ego,off,10,0,2.0,0.05,True,0,1.581,6.9,1.5,0,0
ego,off,10,1,2.0,0.05,True,0,1.026,8.4,1.5,0,0
ego,off,10,2,2.0,0.05,True,0,1.791,6.9,1.5,0,0
